Thang,NoiComDien,BepTuDoi,PhuTungX12,AoKhoacMuaDong
2022-01-01,758,517,6,0
2022-02-01,430,500,14,0
2022-03-01,462,500,19,0
2022-04-01,448,536,0,0
2022-05-01,296,538,0,0
2022-06-01,301,533,0,0
2022-07-01,402,504,0,0
2022-08-01,450,526,0,0
2022-09-01,533,523,0,0
2022-10-01,568,525,7,0
2022-11-01,784,541,14,0
2022-12-01,1054,525,22,0
2023-01-01,903,536,0,0
2023-02-01,886,522,0,0
2023-03-01,536,527,14,0
2023-04-01,448,535,0,0
2023-05-01,475,485,18,0
2023-06-01,386,512,0,0
2023-07-01,511,509,0,0
2023-08-01,549,505,0,0
2023-09-01,624,513,7,76
2023-10-01,685,556,0,112
2023-11-01,933,499,0,166
2023-12-01,1191,543,18,189
2024-01-01,1037,480,17,228
2024-02-01,658,512,0,261
2024-03-01,625,524,0,303
2024-04-01,585,534,0,379
2024-05-01,552,537,21,442
2024-06-01,518,539,0,528
2024-07-01,643,512,0,546
2024-08-01,619,509,0,602
2024-09-01,708,541,0,605
2024-10-01,1109,515,11,612
2024-11-01,1039,489,18,623
2024-12-01,1428,493,0,620
